,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m
5/25/22 12:00:10 AM,VALID,1010.344,VALID,19.734,VALID,73.462,VALID,14.85,INVALID,0,INVALID,0,INVALID,0,VALID,53.592,VALID,184,VALID,216,VALID,133,VALID,1.919,VALID,3.398,VALID,0.703
5/25/22 12:10:09 AM,VALID,1010.453,VALID,19.7,VALID,74.235,VALID,14.973,INVALID,0,INVALID,0,INVALID,0,VALID,53.029,VALID,193,VALID,239,VALID,162,VALID,1.628,VALID,2.602,VALID,0.602
5/25/22 12:20:09 AM,VALID,1010.54,VALID,19.714,VALID,75.338,VALID,15.211,INVALID,0,INVALID,0,INVALID,0,VALID,53.865,VALID,205,VALID,248,VALID,154,VALID,1.849,VALID,3.297,VALID,1
5/25/22 12:30:09 AM,VALID,1010.496,VALID,19.778,VALID,76.096,VALID,15.437,INVALID,0,INVALID,0,INVALID,0,VALID,53.03,VALID,220,VALID,271,VALID,164,VALID,2.464,VALID,5.102,VALID,0.398
5/25/22 12:40:09 AM,VALID,1010.526,VALID,19.688,VALID,77.216,VALID,15.58,INVALID,0,INVALID,0,INVALID,0,VALID,52.572,VALID,204,VALID,233,VALID,132,VALID,2.53,VALID,4.102,VALID,0.297
5/25/22 12:50:09 AM,VALID,1010.45,VALID,19.7,VALID,78.369,VALID,15.81,INVALID,0,INVALID,0,INVALID,0,VALID,52.503,VALID,225,VALID,275,VALID,162,VALID,2.839,VALID,4.5,VALID,0.602
5/25/22 1:00:09 AM,VALID,1010.387,VALID,19.905,VALID,78.926,VALID,16.137,INVALID,0,INVALID,0,INVALID,0,VALID,53.339,VALID,202,VALID,266,VALID,153,VALID,2.898,VALID,5.398,VALID,0.898
5/25/22 1:10:09 AM,VALID,1010.49,VALID,20.045,VALID,79.593,VALID,16.389,INVALID,0,INVALID,0,INVALID,0,VALID,52.324,VALID,206,VALID,265,VALID,175,VALID,3.53,VALID,5.398,VALID,0.898
5/25/22 1:20:09 AM,VALID,1010.436,VALID,19.922,VALID,80.313,VALID,16.43,INVALID,0,INVALID,0,INVALID,0,VALID,50.528,VALID,188,VALID,214,VALID,148,VALID,2.855,VALID,4.602,VALID,1.102
