,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/26/22 12:00:09 AM,VALID,1015.896,VALID,20.979,VALID,69.65,VALID,15.222,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.058,VALID,72.0,VALID,169.0,VALID,345.0,VALID,0.636,VALID,1.203,VALID,0.203,
5/26/22 12:10:09 AM,VALID,1015.779,VALID,21.0,VALID,69.309,VALID,15.161,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.279,VALID,188.0,VALID,317.0,VALID,330.0,VALID,0.492,VALID,1.102,VALID,0.0,
5/26/22 12:20:09 AM,VALID,1015.759,VALID,21.004,VALID,68.885,VALID,15.072,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.25,VALID,208.0,VALID,264.0,VALID,141.0,VALID,0.954,VALID,1.398,VALID,0.5,
5/26/22 12:30:09 AM,VALID,1015.75,VALID,21.099,VALID,68.771,VALID,15.139,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.864,VALID,188.0,VALID,217.0,VALID,166.0,VALID,1.335,VALID,1.797,VALID,0.797,
5/26/22 12:40:09 AM,VALID,1015.772,VALID,21.068,VALID,68.978,VALID,15.152,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.901,VALID,190.0,VALID,209.0,VALID,162.0,VALID,1.687,VALID,2.398,VALID,1.0,
5/26/22 12:50:09 AM,VALID,1015.7,VALID,20.958,VALID,69.11,VALID,15.079,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.76,VALID,165.0,VALID,200.0,VALID,107.0,VALID,1.594,VALID,2.898,VALID,0.5,
5/26/22 1:00:09 AM,VALID,1015.761,VALID,20.904,VALID,68.633,VALID,14.928,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.687,VALID,162.0,VALID,214.0,VALID,75.0,VALID,1.185,VALID,2.398,VALID,0.203,
5/26/22 1:10:09 AM,VALID,1015.586,VALID,20.844,VALID,67.848,VALID,14.692,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.83,VALID,164.0,VALID,205.0,VALID,110.0,VALID,1.682,VALID,3.102,VALID,0.602,
5/26/22 1:20:09 AM,VALID,1015.563,VALID,20.732,VALID,66.963,VALID,14.385,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.188,VALID,193.0,VALID,246.0,VALID,129.0,VALID,1.172,VALID,2.102,VALID,0.703,
5/26/22 1:30:09 AM,VALID,1015.468,VALID,20.723,VALID,66.464,VALID,14.223,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.345,VALID,243.0,VALID,301.0,VALID,194.0,VALID,1.282,VALID,2.0,VALID,0.602,
5/26/22 1:40:09 AM,VALID,1015.375,VALID,21.087,VALID,68.825,VALID,15.117,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.708,VALID,259.0,VALID,287.0,VALID,205.0,VALID,1.093,VALID,2.0,VALID,0.102,
