,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_sum_10min,,RainIntensity_10min,,RainIntensity_10min,,RainIntensity_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineAmmount_sum_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,
5/28/22 12:00:18 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 12:10:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 12:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 12:30:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 12:40:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 12:50:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 1:00:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 1:10:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 1:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
